State Name,State Abbrevations,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
Alabama,AL,5153,6007,6144,6263,6180,6007,6281,5633,5743,5395,5556,5087,5126,6047,6095,6297,6121,6008,6319,5585,5636,5392,5775,5101,4975,5952,6145,6253,6240,6105,6364,5529,5876,5349,5757,5374,5098,6039,6410,6463,6391,6261,6471,5815,5922,5530,6071,5679,5058,5095,4102,5393,5902,5802,5771,5552,5590,5127,5647
Alaska,AK,337,407,447,492,461,474,474,414,434,367,368,354,326,397,437,499,469,482,479,417,437,366,392,355,322,397,444,526,498,516,500,430,470,373,392,362,360,439,488,553,520,541,529,442,478,381,416,377,357,355,320,448,442,474,449,406,431,348,391
Arizona,AZ,5494,5937,6259,6211,6068,5151,4764,4918,5380,5170,6046,5586,5484,6038,6388,6344,6104,5135,4752,4975,5470,5318,5982,5717,5506,5954,6401,6351,6027,5409,5121,4871,5626,5390,6314,5798,5460,5787,6572,6673,6111,5688,5233,4867,5607,5023,6102,5656,5626,5122,4265,5242,5681,5033,4403,4818,5463,5140,6021
Arkansas,AR,2745,3004,2903,3359,3244,3375,3125,2764,2861,2676,3133,3040,2364,3544,2770,3205,3223,3164,2966,2707,2789,2806,3156,3062,2072,3461,2815,3263,3259,3284,3114,2705,2941,2606,3093,3152,2138,3408,2985,3172,3216,3392,3128,2800,3018,2728,3348,3295,2272,2912,2220,2693,3130,3299,2978,2829,2917,2693,3087
California,CA,25229,29981,31685,30129,32365,32352,32221,27731,31770,34354,32108,23997,23735,28940,31267,29476,31176,30725,30898,26332,31213,33156,32362,25629,24411,28313,31227,29251,30901,30228,30158,25366,31964,32119,32333,25741,23914,28243,31193,28595,30500,30789,30448,26237,32068,31617,32615,24653,24320,22454,18389,21361,26375,27596,25568,23835,29438,28059,27784
Colorado,CO,3861,4621,4486,4424,4337,4474,4890,4518,4596,3993,4330,4429,3985,4863,4561,4553,4393,4466,4922,4490,4555,4054,4443,4740,3869,5062,4817,4610,4408,4479,5007,4521,4603,3869,4464,4705,3806,4675,4808,4528,4346,4624,5068,4646,4640,3811,4387,4642,3784,3670,2757,3458,3849,4220,4516,4284,4434,3574,3988
Connecticut,CT,2265,2593,2538,2857,2813,2872,2876,2695,2842,2692,2544,2456,2274,2493,2571,2918,2855,2853,2865,2715,2864,2746,2558,2360,2166,2325,2495,2942,2784,2900,2806,2701,2909,2656,2636,2364,2168,2509,2494,2899,2681,2922,2799,2687,2864,2644,2547,2412,2167,1841,1267,1799,2052,2455,2468,2437,2559,2255,2147
Delaware,DE,699,784,818,825,1020,1028,956,945,856,753,768,711,720,784,830,837,1049,1033,962,958,863,749,761,719,679,734,823,875,1032,1005,962,952,893,764,789,731,673,786,861,904,1014,1014,993,987,863,768,781,748,689,655,487,563,933,891,753,898,774,649,321
District of Columbia,DC,224,307,294,307,341,227,362,329,302,277,300,306,206,296,296,292,301,226,363,337,329,288,313,362,245,291,313,329,332,246,326,360,347,292,313,349,240,349,357,351,349,266,360,371,310,284,307,331,242,378,186,215,274,210,294,288,257,234,255
Florida,FL,16772,19732,18366,18807,18031,18378,18165,17294,18877,17890,17640,18167,16616,19593,18143,18701,17655,18010,18097,16644,18618,17858,18083,18637,17173,20327,18534,18985,18485,18623,18838,17516,19678,18401,18320,19349,17439,20500,19151,19701,18617,19050,18692,18077,19521,18170,19023,19697,17414,16479,11102,15168,16419,16634,16145,16191,17599,16607,17588
